gameId,time,playId,nflId,x,y,s,dir,a,position,team,possession
12345,0.0,1,301,50.0,30.0,5.5,45.0,1.2,QB,home,True
12345,0.0,1,302,45.0,28.0,4.0,90.0,0.8,WR,home,False
12345,0.0,1,303,55.0,32.0,3.5,60.0,0.5,RB,home,False
12345,0.1,1,301,51.0,31.0,5.8,50.0,1.5,QB,home,True
12345,0.1,1,302,46.0,30.0,4.5,85.0,1.0,WR,home,False
12345,0.1,1,303,56.0,33.0,4.0,65.0,0.8,RB,home,False
12345,0.2,1,301,52.5,32.5,6.2,55.0,1.8,QB,home,False
12345,0.2,1,302,48.0,32.0,5.0,80.0,1.2,WR,home,True
12345,0.2,1,303,57.5,34.5,4.5,70.0,1.0,RB,home,False
12345,0.3,1,301,54.0,34.0,6.5,60.0,2.0,QB,home,False
