eventId,matchId,playerId,teamId,positions,tags,timestamp
1,12345,201,10,"[{'x': 50.0, 'y': 30.0}]","[1, 2, 3]",0.0
2,12345,202,10,"[{'x': 40.0, 'y': 25.0}]","[1, 4]",0.0
3,12345,203,11,"[{'x': 60.0, 'y': 35.0}]","[2, 3]",0.0
4,12345,201,10,"[{'x': 52.0, 'y': 32.0}]","[1, 2]",0.1
5,12345,202,10,"[{'x': 42.0, 'y': 27.0}]","[1]",0.1
6,12345,203,11,"[{'x': 62.0, 'y': 37.0}]","[2]",0.1
7,12345,201,10,"[{'x': 54.0, 'y': 34.0}]","[1, 2, 5]",0.2
8,12345,202,10,"[{'x': 44.0, 'y': 29.0}]","[1, 3]",0.2
9,12345,203,11,"[{'x': 64.0, 'y': 39.0}]","[2, 4]",0.2
10,12345,201,10,"[{'x': 56.0, 'y': 36.0}]","[1, 2]",0.3
